,subtaskname,minx,maxy,maxx,miny
221,L8-OLI-123-032-20180408-LSR14_11,518595.0,4377975.0,533955.0,4362615.0
222,L8-OLI-123-032-20180408-LSR14_12,533205.0,4377975.0,548565.0,4362615.0
223,L8-OLI-123-032-20180408-LSR14_13,547815.0,4377975.0,563175.0,4362615.0
224,L8-OLI-123-032-20180408-LSR14_14,562425.0,4377975.0,577785.0,4362615.0
225,L8-OLI-123-032-20180408-LSR15_0,357885.0,4363365.0,373245.0,4348005.0
226,L8-OLI-123-032-20180408-LSR15_1,372495.0,4363365.0,387855.0,4348005.0
227,L8-OLI-123-032-20180408-LSR15_2,387105.0,4363365.0,402465.0,4348005.0
228,L8-OLI-123-032-20180408-LSR15_3,401715.0,4363365.0,417075.0,4348005.0
229,L8-OLI-123-032-20180408-LSR15_4,416325.0,4363365.0,431685.0,4348005.0
230,L8-OLI-123-032-20180408-LSR15_5,430935.0,4363365.0,446295.0,4348005.0
231,L8-OLI-123-032-20180408-LSR15_6,445545.0,4363365.0,460905.0,4348005.0
232,L8-OLI-123-032-20180408-LSR15_7,460155.0,4363365.0,475515.0,4348005.0
233,L8-OLI-123-032-20180408-LSR15_8,474765.0,4363365.0,490125.0,4348005.0
234,L8-OLI-123-032-20180408-LSR15_9,489375.0,4363365.0,504735.0,4348005.0
235,L8-OLI-123-032-20180408-LSR15_10,503985.0,4363365.0,519345.0,4348005.0
236,L8-OLI-123-032-20180408-LSR15_11,518595.0,4363365.0,533955.0,4348005.0
237,L8-OLI-123-032-20180408-LSR15_12,533205.0,4363365.0,548565.0,4348005.0
238,L8-OLI-123-032-20180408-LSR15_13,547815.0,4363365.0,563175.0,4348005.0
239,L8-OLI-123-032-20180408-LSR15_14,562425.0,4363365.0,577785.0,4348005.0
